1,132,10000 maniacs,rock,0.3
133,232,12 stones,rock,0.3
233,346,3 doors down,rock,4.9
347,563,311,rock,0.5
564,587,4 non blondes,rock,7.5
588,693,a day to remember,rock,0.7
694,907,ac dc,rock,10.8
908,912,acid tree,rock,0
913,913,adam albuquerque,rock,0
914,1047,adam lambert,pop,1.4
1048,1050,adrian suirady,rock,0
1051,1316,aerosmith,rock,16.5
1317,1526,afi,Pop,0.1
1527,1527,agnela,rock,0.1
1528,1729,alanis morissette,rock,5.8
1730,1753,alejandro escovedo,rock,0
1754,1853,alesana,rock,0.1
1854,1859,alex turner,rock,0.4
1860,2191,alice cooper,rock,1.2
2192,2320,alice in chains,rock,3.3
2321,2462,all time low,rock,0.7
2463,2559,alter bridge,rock,1.4
2560,2569,am,rock,0
2570,2614,amy lee,rock,0.5
2615,2729,anberlin,rock,0.1
2730,2773,andi deris,rock,0
2774,2805,andrew w k,rock,0
2806,2943,angra,rock,2.2
2944,3055,the arcade fire,rock,0
3056,3207,arctic monkeys,rock,14.1
3208,3209,arthur brown,rock,0
3210,3310,asking alexandria,rock,1
3311,3383,audioslave,rock,4.3
3384,3391,audrye sessions,rock,0
3392,3393,autoramas,rock,0.1
3394,3527,avenged sevenfold,rock,6.2
3528,3689,avril lavigne,rock,22.6
3690,3986,bad religion,rock,0.7
3987,4108,badfinger,rock,0.3
4109,4182,band of horses,rock,0.3
4183,4186,banda sum,rock,0
4187,4187,barao vermelho,rock,3.8
4188,4271,barlowgirl,rock,0.4
4272,4305,beady eye,rock,0.1
4306,4488,beastie boys,hip hop,0.6
4489,4819,beck,rock,0.6
4820,4874,beeshop,rock,0.2
4875,5061,ben harper,rock,2.5
5062,5134,ben kweller,rock,0
5135,5155,bens brother,rock,0.3
5156,5272,berlin,rock,1.6
5273,5333,big star,rock,0.1
5334,5371,bill haley his comets,rock,0
5372,5420,billy burnette,rock,0
5421,5511,billy squier,rock,0
5512,5515,biosystem 55,rock,0
5516,5517,biquini cavadao,rock,3.4
5518,5724,black sabbath,rock,3.7
5725,5726,black ties,rock,0
5727,5834,black veil brides,rock,0.6
5835,5906,bleach,rock,0
5907,5998,blessthefall,rock,0.1
5999,6185,blink 182,rock,3.8
6186,6351,blondie,rock,0.7
6352,6355,blowdrivers,rock,0
6356,6552,blur,rock,0.6
6553,7111,bob dylan,rock,6.4
7112,7483,bon jovi,rock,31.2
7484,7486,boogarins,rock,0.2
7487,7487,box 47,rock,0
7488,7588,breaking benjamin,rock,0.9
7589,7702,bring me the horizon,rock,4.2
7703,8204,bruce springsteen,rock,4.1
8205,8448,bryan adams,rock,11.3
8449,8511,buddy holly,rock,0.2
8512,8517,buddy knox,rock,0
8518,8564,buffalo springfield,rock,0.2
8565,8680,bullet for my valentine,rock,0.8
8681,8756,bumblefoot,rock,0
8757,8901,bush,rock,0.6
8902,8902,camisa de venus,rock,0.6
8903,8947,camp rock,pop,1.6
8948,8949,capital inicial,rock,8.1
8950,9010,carbona,rock,0.1
9011,9012,dr cascadura,rock,0
9013,9032,cassia eller,rock,7.5
9033,9033,cazuza,rock,9.6
9034,9043,celio azevedo,rock,0
9044,9049,chal,rock,0
9050,9133,chantal kreviazuk,rock,0.6
9134,9140,charge,rock,0
9141,9143,charlie brown jr,rock,25.7
9144,9335,cheap trick,rock,0.2
9336,9438,chris cornell,rock,1.2
9439,9587,chris isaak,rock,2.1
9588,9591,chris richardson,rock,0
9592,9775,chuck berry,rock,0.7
9776,9820,cinema bizarre,rock,0.1
9821,10109,cliff richard and the shadows,rock,0
10110,10189,cobra starship,Pop,0.1
10190,10311,coheed and cambria,rock,0.1
10312,10525,coldplay,Pop,0.1
10526,10669,counting crows,rock,1.5
10670,10829,cowboy junkies,rock,0.1
10830,10830,cpm 22,rock,3.2
10831,10831,crazy horse 11,rock,0
10832,10914,cream,rock,0.2
10915,10996,creed,rock,6.6
10997,11086,creedence clearwater revival,rock,5.2
11087,11203,crowded house,pop,1
11204,11208,cruithne band,rock,0
11209,11211,cw7,rock,0.1
11212,11244,dan auerbach,rock,0.1
11245,11284,dan,rock,0
11285,11298,dance of days,rock,0.3
11299,11371,danko jones,rock,0
11372,11421,danni carlos,pop,0.8
11422,11524,daughtry,rock,1.4
11525,11538,dave edmunds,rock,0
11539,11995,david bowie,rock,8.1
11996,12030,dawes,rock,0.1
12031,12043,dead fish,rock,0.7
12044,12281,deep purple,rock,2
12282,12338,deerhunter,rock,0
12339,12503,deftones,rock,0.7
12504,12602,demon hunter,rock,0.2
12603,12740,descendents,Pop,0.1
12741,12742,detonautas roque clube,rock,2
12743,12856,dido,rock,2.4
12857,12944,dire straits,rock,5
12945,12974,dirty pretty things,rock,0
12975,12992,disperse,rock,0
12993,13140,disturbed,rock,2.9
13141,13185,dog eat dog,rock,0
13186,13186,dona mag,rock,0
13187,13311,dr sin,rock,0
13312,13424,drake bell,pop,0.3
13425,13646,duran duran,pop,2.8
13647,13656,dying kingdom,rock,0
13657,13733,eagle eye cherry,rock,0.9
13734,13854,echo and the bunnymen,rock,0.5
13855,13883,eddie cochran,rock,0
13884,13933,eddie vedder,rock,3
13934,14045,elbow,rock,0.1
14046,14092,electronic,rock,0.1
14093,14591,elvis costello,rock,4.2
14592,15362,elvis presley,rock,20.8
15363,15469,emmerson nogueira,rock,0.9
15470,15480,endeverafter,rock,0
15481,15607,epica,rock,1
15608,16032,eric clapton,rock,6.4
16033,16033,erro 061,rock,0
16034,16146,escape the fate,rock,0.3
16147,16147,esquerita,rock,0
16148,16159,esteban,rock,0.9
16160,16160,eternal alliance,rock,0
16161,16285,evanescence,rock,7.9
16286,16431,everclear,rock,0.1
16432,16432,explosions in the sky,rock,0
16433,16517,extreme,rock,5.2
16518,16590,eyes set to kill,rock,0.1
16591,16709,faith no more,rock,1.6
16710,16875,fall out boy,rock,2.4
16876,16960,falling in reverse,rock,0.5
16961,16962,falling sets fire,rock,0
16963,17028,falling up,rock,0
17029,17032,filanos,rock,0
17033,17122,fiona apple,rock,0.2
17123,17215,fireflight,rock,0.4
17216,17216,fireheat,rock,0
17217,17218,fiuk,pop,0.3
17219,17493,fleetwood mac,rock,3.6
17494,17540,flying burrito brothers,rock,0
17541,17649,flyleaf,rock,0.3
17650,17837,foo fighters,rock,9.1
17838,17880,for all those sleeping,rock,0
17881,17887,forestside,rock,0
17888,17891,forfun,Pop,0.1
17892,17902,forty deuce,rock,0
17903,18012,franz ferdinand,rock,0.9
18013,18166,freddie mercury,rock,9.9
18167,18168,frejat,rock,3.5
18169,18169,fresno,rock,2.2
18170,18289,funeral for a friend,rock,0.1
18290,18443,garbage,rock,0.4
18444,18462,gene summers,rock,0
18463,18612,george michael,pop,5.1
18613,18632,glasvegas,rock,0
18633,18636,gloria,rock,0.6
18637,18646,godspeed you black emperor,rock,0
18647,18650,gold n soul,rock,0
18651,18655,golden duck orchestra,rock,0
18656,18844,goo goo dolls,rock,4
18845,18987,good charlotte,rock,0.8
18988,19135,gorillaz,rock,2.7
19136,19162,gram parsons,rock,0
19163,19296,grand funk railroad,rock,0.2
19297,19553,green day,rock,7.4
19554,19590,greta van fleet,rock,1.2
19591,19714,guns n roses,rock,23.6
19715,19718,gustavo goulart,rock,0
19719,19887,heart,rock,1.6
19888,19888,hevo84,Pop,0.1
19889,19918,hey monday,rock,0
19919,19984,high school musical,Pop,0.1
19985,20117,him,rock,0.4
20118,20185,hinder,rock,0.3
20186,20196,hollywood rose,rock,0
20197,20320,hollywood undead,rock,0.7
20321,20447,hoobastank,rock,2.2
20448,20448,hori,pop,0.3
20449,20451,hurry up,rock,0
20452,20578,ian dury and the blockheads,rock,0
20579,20613,ike turner,rock,0
20614,20747,imagine dragons,rock,61.3
20748,20754,in the dark,rock,0
20755,20905,incubus,rock,1.9
20906,20913,interceptor,rock,0
20914,21084,inxs,rock,1.7
21085,21088,ira,rock,3.4
21089,21298,iron maiden,rock,6.8
21299,21321,iron weasel,rock,0
21322,21338,isabella taviani,rock,1.3
21339,21455,james blunt,pop,7.2
21456,21548,james morrison,rock,1.9
21549,21632,janes addiction,rock,0.3
21633,21770,janis joplin,rock,4.3
21771,21944,jars of clay,rock,0.1
21945,22148,jerry lee lewis,rock,0.2
22149,22149,jesus generation,rock,0
22150,22214,jet,rock,2.1
22215,22357,jimi hendrix,rock,1.8
22358,22365,jimmy breedlove,rock,0
22366,22528,jimmy eat world,rock,0.3
22529,22728,joan jett the blackhearts,rock,0
22729,22774,joe perry project,rock,0
22775,22928,john lennon,rock,12.9
22929,22979,johnny marr,rock,0
22980,23142,johnny rivers,rock,1.6
23143,23273,johnny winter,rock,0.1
23274,23442,jonas brothers,pop,1.4
23443,23445,jota quest,pop,13.3
23446,23629,journey,rock,2.5
23630,23675,juliette lewis and the licks,rock,0
23676,23807,kaiser chiefs,rock,0.4
23808,23951,kansas,rock,3.5
23952,24057,kasabian,rock,0.3
24058,24186,keane,rock,3.3
24187,24317,kerli,pop,0.9
24318,24320,khorus,Pop,0.1
24321,24323,kiara,rock,0
24324,24450,killing joke,rock,0.1
24451,24575,kings of leon,rock,6.7
24576,24874,kiss,rock,5.1
24875,25116,korn,rock,1.7
25117,25243,kt tunstall,rock,0.7
25244,25292,lcd soundsystem,rock,0.2
25293,25405,led zeppelin,rock,9.2
25406,25412,legiao urbana,rock,27.7
25413,25413,legius,Pop,0.1
25414,25625,lenny kravitz,rock,3.2
25626,25626,leo diaz,Pop,0.1
25627,25841,less than jake,rock,0.1
25842,25868,liam gallagher,rock,0.2
25869,25871,libra,rock,0.1
25872,26037,lifehouse,rock,7.5
26038,26040,like a boss,rock,0
26041,26190,limp bizkit,rock,1.9
26191,26426,linkin park,rock,22
26427,26433,linkin park jay z,rock,0
26434,26500,little richard,rock,0.3
26501,26503,lobao,rock,1.3
26504,26507,lonsdale boys club,rock,0
26508,26508,los hermanos,rock,5.5
26509,26748,lou reed,rock,0.7
26749,26806,love,rock,0.1
26807,26950,low,rock,0.1
26951,26955,lucas ray exp,rock,0
26956,26961,lulu santos,rock,10
26962,27147,lynyrd skynyrd,rock,2.3
27148,27218,m83,Pop,0.1
27219,27222,malta,rock,1.4
27223,27232,mamilo mandala,rock,0
27233,27234,mamonas assassinas,rock,5
27235,27509,manic street preachers,rock,0.2
27510,27524,mara,rock,0
27525,27526,marcelo nova,rock,0.1
27527,27772,marianne faithfull,rock,0.1
27773,27969,marillion,rock,0.8
27970,28195,marilyn manson,rock,2.8
28196,28197,marino scheid,rock,0
28198,28372,maroon 5,pop,90.3
28373,28406,massacration,rock,0.5
28407,28429,matanza,rock,1.3
28430,28524,matchbox 20,rock,1
28525,28706,mcfly,pop,2.2
28707,28915,megadeth,rock,1.1
28916,28916,megaira,rock,0
28917,28972,men at work,rock,1.6
28973,29038,meredith brooks,rock,0.5
29039,29236,metallica,rock,13.4
29237,29316,mgmt,rock,0.6
29317,29375,michael kiske,rock,0
29376,29474,michelle branch,rock,0.3
29475,29526,miles kane,rock,0
29527,29577,mindflow,rock,0.2
29578,29639,miranda cosgrove,pop,0.4
29640,29800,misfits,rock,0.5
29801,29815,missing takes,rock,0
29816,29819,moptop,rock,0.1
29820,30078,morrissey,rock,2.3
30079,30109,mortiis,rock,0
30110,30401,motorhead,rock,1
30402,30564,muse,rock,3.8
30565,30574,os mutantes,rock,1
30575,30693,my chemical romance,rock,2.3
30694,30696,my ghostly cathy,rock,0
30697,30796,my morning jacket,rock,0.1
30797,30801,nacao zumbi,Pop,0.1
30802,30814,narinas,rock,0
30815,30835,naruto,rock,2.9
30836,30963,natalie merchant,rock,0.1
30964,31255,nazareth,rock,4.1
31256,31358,needtobreathe,rock,0.5
31359,31871,neil young,rock,3.1
31872,31939,neutral milk hotel,rock,0
31940,31940,nevilton,rock,0
31941,32134,new model army,rock,0.1
32135,32441,nick cave the bad seeds,rock,1
32442,32547,nick jonas,pop,1.9
32548,32685,nickelback,rock,10.2
32686,32825,nightwish,rock,2.3
32826,32972,nirvana,rock,11.6
32973,33113,no doubt,rock,1.7
33114,33183,noel gallagher,rock,0.5
33184,33189,nova,rock,0
33190,33193,nxzero,rock,3.4
33194,33194,o surto,rock,0.5
33195,33295,oar,rock,0
33296,33480,oasis,rock,12.2
33481,33486,oficina g3,rock,2.3
33487,33594,onerepublic,rock,9.1
33595,33605,paralamas do sucesso,rock,7
33606,33801,ozzy osbourne,rock,3.4
33802,33963,p o d,rock,1
33964,34097,panic at the disco,Pop,0.1
34098,34273,papa roach,rock,1.4
34274,34412,paramore,rock,7.4
34413,34556,pat benatar,rock,0.3
34557,34572,pato fu,rock,1.4
34573,34725,patti smith,rock,0.4
34726,34801,paul gilbert,rock,0
34802,35248,paul mccartney,rock,8.3
35249,35250,paulo medeiros,rock,0
35251,35364,pavement,rock,0.1
35365,35598,pearl jam,rock,20.4
35599,35601,pedra leticia,rock,1.1
35602,35762,phil collins,Pop,0.1
35763,35845,phoenix,rock,0.6
35846,36033,pink floyd,rock,30.9
36034,36041,pitty,rock,8.1
36042,36213,placebo,rock,1.1
36214,36216,planet hemp,rock,2.1
36217,36220,poemas eletricos,rock,0
36221,36331,poets of the fall,rock,0.2
36332,36451,primal scream,rock,0.1
36452,36452,propagnda,rock,0
36453,36538,puddle of mudd,rock,0.4
36539,36539,pull down,rock,0
36540,36542,purple eyed raven,rock,0
36543,36788,queen,rock,69.5
36789,36916,queens of the stone age,rock,1.4
36917,37182,r e m,rock,6.8
37183,37391,radiohead,rock,5.3
37392,37482,rage against the machine,rock,1.5
37483,37498,raimundos,rock,4.2
37499,37590,rainbow,rock,0.6
37591,37639,rammstein,rock,24
37640,37872,the ramones,rock,3
37873,37886,rascal experience,rock,0
37887,37921,raul seixas,rock,14
37922,37924,reacao em cadeia,rock,0.8
37925,38013,red,rock,2.3
38014,38293,red hot chili peppers,rock,18.6
38294,38301,red light dc,rock,0
38302,38332,renato russo,rock,6.2
38333,38335,resgate,rock,0.4
38336,38344,resylia,rock,0
38345,38435,reverend horton heat,rock,0
38436,38436,rhino head,rock,0
38437,38706,richard thompson,rock,0
38707,38774,sambora richie,rock,0
38775,38941,ricky nelson,rock,0.1
38942,39092,rise against,rock,0.5
39093,39093,rising heart,rock,0
39094,39110,rita lee,rock,7.6
39111,39122,ritchie valens,rock,1.1
39123,39582,rod stewart,rock,12.2
39583,39585,rodox,rock,0.7
39586,39590,rodrigo lamore,rock,0
39591,39598,rollercoaster band,rock,0
39599,40053,the rolling stones,rock,11
40054,40054,ronnie von,rock,0.5
40055,40058,rosa de saron,rock,8.2
40059,40267,roxette,pop,9.7
40268,40270,rpm,rock,1.9
40271,40271,rude,rock,0.1
40272,40465,rush,rock,1.4
40466,40491,russell allen,rock,0
40492,40725,ryan adams,rock,0.3
40726,40822,crepusculo trilha sonora,rock,5
40823,40823,saint pradier,rock,0
40824,40921,saliva,rock,0.1
40922,41109,santana,rock,1.9
41110,41255,sarah mclachlan,rock,1.1
41256,41282,savages,rock,0
41283,41284,scalene,rock,0.8
41285,41324,scars on broadway,rock,0.2
41325,41589,scorpions,rock,29.1
41590,41632,scott stapp,rock,0.1
41633,41633,scracho,Pop,0.1
41634,41655,screamin jay hawkins,rock,0
41656,41778,seether,rock,1.9
41779,41784,septembre,rock,0
41785,41860,serj tankian,rock,0.4
41861,42024,sheryl crow,rock,0.7
42025,42132,shinedown,rock,0.5
42133,42146,sigur ros,Pop,0.1
42147,42260,silverchair,rock,1.6
42261,42437,simple minds,rock,1.7
42438,42553,simple plan,rock,5.6
42554,42633,sixx a m,rock,0
42634,42637,skank,rock,12.3
42638,42747,skid row,rock,1.3
42748,42898,skillet,rock,2.6
42899,43117,slade,rock,0.5
43118,43227,slashs snakepit,rock,1
43228,43322,sleeping with sirens,rock,0.8
43323,43456,slipknot,rock,6.7
43457,43504,small faces,rock,0
43505,43784,smashing pumpkins,rock,1.2
43785,43936,snow patrol,rock,4.1
43937,44183,sonic youth,rock,0.2
44184,44334,soul asylum,rock,0.7
44335,44340,souls of rage,rock,0
44341,44344,sound of june,rock,0
44345,44483,soundgarden,rock,1
44484,44605,staind,rock,0.7
44606,44788,stereophonics,rock,0.6
44789,45041,steve earle,rock,0.1
45042,45076,steven tyler,rock,0.2
45077,45224,stevie nicks,rock,0.4
45225,45233,stone breeze,rock,0
45234,45376,stone sour,rock,1.7
45377,45489,stray cats,rock,0.1
45490,45503,sublime with rome,rock,0.3
45504,45629,sum 41,rock,0.8
45630,45630,supercombo,rock,2.2
45631,45650,superdrive,rock,0
45651,45759,supernatural serie,rock,1
45760,45871,survivor,rock,1.2
45872,45872,suspense,rock,0
45873,46074,switchfoot,rock,0.8
46075,46199,system of a down,rock,8.8
46200,46307,taking back sunday,rock,0.2
46308,46358,tank band,rock,0
46359,46468,tarja turunen,rock,0.3
46469,46502,ted nugent,rock,0.1
46503,46656,teenage fanclub,rock,0.1
46657,46770,tenacious d,rock,0.4
46771,46866,the all american rejects,rock,0.4
46867,46974,the animals,rock,2
46975,47012,the automatic,rock,0
47013,47220,the band,rock,0.2
47221,47577,beach boys,rock,1
47578,47919,the beatles,rock,42.9
47920,48071,the black keys,rock,1.3
48072,48122,the bravery,rock,0.2
48123,48281,the byrds,rock,0.2
48282,48343,the cab,rock,0.1
48344,48403,the calling,rock,3.6
48404,48508,cramps,rock,0
48509,48655,the cranberries,rock,9.4
48656,48814,the cult,rock,0.7
48815,49094,the cure,rock,3.2
49095,49130,the dead weather,rock,0
49131,49268,the donnas,rock,0.1
49269,49426,the doors,rock,5.8
49427,49434,the ed sons,rock,0
49435,49482,faces,rock,0
49483,49668,the flaming lips,rock,0.1
49669,49764,the fray,Pop,0.1
49765,49891,the gathering,rock,0.1
49892,49940,gazette,rock,0
49941,49950,the go team,rock,0
49951,49964,the good the bad the queen,rock,0
49965,50067,the hives,rock,0.1
50068,50176,the jam,rock,0.1
50177,50333,the jesus and mary chain,rock,0.2
50334,50472,the killers,rock,4.1
50473,50588,the kills,rock,0.2
50589,50734,the kooks,rock,1.7
50735,50872,the lemonheads,rock,0.1
50873,50927,the maccabees,rock,0
50928,51069,the maine,rock,0.6
51070,51075,the melties,rock,0
51076,51082,the million dollar quartet,rock,0
51083,51092,the minimalistas,rock,0
51093,51102,monks,rock,0
51103,51188,the naked brothers band,rock,0
51189,51353,the offspring,rock,2.8
51354,51366,the panic channel,rock,0
51367,51486,pogues,rock,0
51487,51571,the police,rock,8.2
51572,51670,the pretty reckless,rock,1.8
51671,51708,the raconteurs,rock,0.1
51709,51848,the rasmus,rock,0.4
51849,51941,the red jumpsuit apparatus,rock,0.1
51942,52014,runaways,rock,0
52015,52112,the smiths,rock,3.8
52113,52172,the stone roses,rock,0.1
52173,52278,the strokes,rock,2.5
52279,52284,the trashmen,rock,0
52285,52412,the used,rock,0.2
52413,52486,the vaccines,rock,0.2
52487,52608,the veronicas,rock,0.4
52609,52706,the verve,rock,1.9
52707,52793,the vines,rock,0
52794,52796,the whales,rock,0
52797,53053,the who,rock,2.2
53054,53145,theory of a deadman,rock,1.7
53146,53338,third day,rock,1
53339,53445,thirty seconds to mars,rock,3.2
53446,53575,thousand foot krutch,rock,0.5
53576,53685,three days grace,rock,2.6
53686,53687,titas,rock,8.9
53688,53692,to have heroes,rock,0
53693,53807,toby mac,rock,0.4
53808,53891,tokio hotel,rock,0.7
53892,54112,tom petty and the heartbreakers,rock,0
54113,54416,tori amos,rock,0.4
54417,54417,torugo teles,rock,0
54418,54560,train,rock,3.1
54561,54903,u2,rock,21.8
54904,54918,ultraje a rigor,rock,2.1
54919,55206,uriah heep,rock,0.4
55207,55270,vampire weekend,rock,0.2
55271,55419,van halen,rock,1.9
55420,55929,van morrison,rock,0.8
55930,56019,vanessa carlton,pop,1.8
56020,56056,vanguart,rock,0.8
56057,56057,velhas virgens,rock,2.4
56058,56155,velvet underground,rock,0.5
56156,56162,viktor hiugo,rock,0
56163,56163,vitor de martinelli,rock,0
56164,56319,warren zevon,rock,0.1
56320,56411,we the kings,rock,0
56412,56672,weezer,rock,1.8
56673,56809,the white stripes,rock,1
56810,56978,whitesnake,rock,2.2
56979,57167,wilco,rock,0.1
57168,57319,within temptation,rock,1.8
57320,57368,wolfmother,rock,0.1
57369,57526,wwe,rock,0.3
57527,57597,x band,rock,0
57598,57755,yellowcard,rock,0.4
57756,57948,yes,rock,1.4
57949,57953,yves klein blue,rock,0
57954,57956,ze maholics,rock,0
57957,58153,zz top,rock,0.5
58154,58255,2 chainz,hip hop,0.2
58256,58266,21 savage,hip hop,1
58267,58366,3oh3,pop,0
58367,58853,50 cent,hip hop,17.9
58854,58939,ace hood,hip hop,0.1
58940,59258,akon,pop,9.8
59259,59259,alexandre ghati,hip hop,0
59260,59440,ashanti,hip hop,0.3
59441,59441,audiodax,hip hop,0
59442,59541,b gizzle,hip hop,0
59542,59808,b o b,Pop,0.1
59809,59920,b2k,hip hop,0.4
59921,59926,baby boy da prince,hip hop,0
59927,59960,bad meets evil,hip hop,0.2
59961,60143,beastie boys,hip hop,0.6
60144,60404,beyonce,pop,40.8
60405,60513,big sean,hip hop,2.1
60514,60581,big bang,hip hop,1
60582,60667,birdman,hip hop,0.1
60668,60831,black eyed peas,hip hop,14
60832,60889,black moon,hip hop,0
60890,60936,blake lewis,pop,0
60937,61102,bow wow,hip hop,0.7
61103,61106,brisco,hip hop,0
61107,61152,bun b,hip hop,0
61153,61154,calle 13,hip hop,0.6
61155,61219,cardi b,hip hop,4.3
61220,61438,chamillionaire,hip hop,0.8
61439,61484,chance the rapper,hip hop,0.2
61485,61491,chantelle paige,pop,0
61492,61573,cher lloyd,pop,0.6
61574,61632,cherish,hip hop,0.3
61633,61664,chiddy bang,hip hop,0
61665,62249,chris brown,hip hop,14.3
62250,62260,chris webby,hip hop,0
62261,62333,christina milian,hip hop,0
62334,62497,ciara,hip hop,2.5
62498,62503,closed heart surgery,hip hop,0
62504,62504,codder,Pop,0.1
62505,62557,colby o donis,hip hop,0
62558,62715,common,hip hop,0.3
62716,62737,cory gunz,hip hop,0
62738,62753,d woods,hip hop,0
62754,62894,d12,hip hop,0.2
62895,62904,daddy yankee,hip hop,2.9
62905,62924,danny brown,hip hop,0
62925,62958,diddy dirty money,Pop,0.1
62959,63091,dj khaled,hip hop,2.7
63092,63377,drake,hip hop,21.2
63378,63565,e 40,hip hop,0.1
63566,63607,eamon,hip hop,1
63608,63611,ed sheeran yelawolf,hip hop,0
63612,64080,eminem,hip hop,79.9
64081,64125,ester dean,hip hop,0
64126,64127,fabio coco,hip hop,0
64128,64221,far east movement,pop,0.3
64222,64372,fat joe,hip hop,0.4
64373,64461,fergie,hip hop,3.5
64462,64598,flo rida,hip hop,2.4
64599,64632,flobots,hip hop,0
64633,64682,fort minor,hip hop,0.4
64683,64764,foxy brown,hip hop,0
64765,64893,frank ocean,hip hop,0.7
64894,64900,franky fade,hip hop,0
64901,65014,g unit,hip hop,0.3
65015,65015,gabriel pensador,hip hop,7
65016,65018,glasses malone,hip hop,0
65019,65166,gorillaz,rock,2.7
65167,65213,grits,hip hop,0.1
65214,65391,gucci mane,hip hop,0.6
65392,65406,gudda gudda,hip hop,0
65407,65478,gym class heroes,hip hop,0.4
65479,65549,hoodie allen,hip hop,0
65550,65810,ice cube,hip hop,1.3
65811,65922,iggy azalea,hip hop,2.7
65923,65934,israel cruz,hip hop,0
65935,65964,iyaz,hip hop,0.1
65965,65972,izzo,hip hop,0
65973,66106,j cole,hip hop,0
